"","year","co2","tmp"
"187",-32626,188.5,-6.62
"188",-30622,188.5,-7.52
"189",-28510,191.6,-8.47
"190",-26425,189.2,-7.82
"191",-24363,189.2,-9.39
"192",-22284,182.2,-8.82
"193",-20197,182.2,-7.52
"194",-18116,225.3,-8.63
"195",-16057,236.2,-5.75
"196",-13992,263.7,-2.32
"197",-11861,261.6,-2.85
"198",-9831,254.6,-0.74
"199",-7745,262.2,-0.72
"200",-5674,284.7,-0.06
