"","school","mathscore"
"282",14,72.17
"283",14,45.71
"284",14,61.74
"285",14,55.51
"286",14,62.97
"287",14,63.22
"288",14,59.2
"289",14,64.09
"290",14,55.36
"291",15,64.33
"292",15,41.46
"293",15,64.61
"294",15,61.06
"295",15,51.38
"296",15,52.42
"297",15,53.56
"298",15,45.25
"299",15,54.74
"300",15,61.15
"301",15,72.08
"302",15,55.13
"303",16,48.18
"304",16,56.3
"305",16,60.36
"306",16,64.65
"307",16,62.42
"308",16,50.32
"309",16,57.32
"310",16,57.96
"311",16,52.73
"312",16,54.95
"313",16,60.49
"314",16,43.01
"315",16,60.25
"316",16,50.76
"317",16,64.58
"318",16,47.55
"319",16,53.35
"320",16,55.9
"321",16,64.38
"322",16,62.8
"323",16,60.49
"324",16,53.81
"325",16,33.85
"326",17,47.51
"327",17,35.25
"328",17,36.51
"329",17,37.49
"330",17,41.33
"331",17,27.09
"332",17,40.31
"333",18,50
"334",18,69.18
"335",18,57.08
"336",18,58.62
"337",18,52.35
"338",18,43.85
"339",18,38.6
"340",18,44.71
"341",18,54.67
"342",18,56.13
"343",18,37.27
"344",18,45.1
"345",18,57.79
"346",18,41
"347",19,47.34
"348",19,29.54
"349",19,52.91
"350",19,51.36
"351",19,33.92
"352",19,36.91
"353",19,44.53
"354",19,56.28
"355",19,50.14
"356",19,37.72
"357",19,52.18
"358",19,28.26
"359",20,61.95
"360",20,62.39
"361",20,50.35
"362",20,42.87
"363",20,33.17
"364",20,53.31
"365",20,31.59
"366",20,50.33
"367",20,29.94
"368",20,47.93
"369",20,46.02
"370",20,51.61
"371",20,50.06
"372",20,39.9
"373",20,47.67
"374",20,47.89
"375",20,48.23
"376",20,45.02
"377",20,36.33
"378",20,40.69
"379",21,55.84
"380",21,44.34
"381",21,41.06
"382",21,55.06
"383",21,56.05
"384",21,55.66
"385",21,44.44
"386",21,59.63
"387",21,60.78
"388",21,42.84
"389",21,54.13
"390",21,60.07
"391",21,50.73
"392",21,36.07
"393",21,43.85
"394",22,56.5
"395",22,60.1
"396",22,59.46
"397",22,49.95
"398",22,46.1
"399",22,64.68
"400",22,30.95
"401",22,47.95
"402",22,40.74
"403",22,61.53
"404",22,40.16
"405",22,40.33
"406",22,46.7
"407",22,40.64
"408",22,48.21
"409",22,59.07
"410",22,53.81
"411",22,35.9
"412",22,32.13
"413",22,51.67
"414",22,55.1
"415",22,46.63
"416",22,50.33
"417",22,31.09
"418",23,52.33
"419",23,35.94
"420",23,48.13
"421",23,48.31
"422",23,63.37
"423",23,53.66
"424",23,65.18
"425",23,48.21
"426",23,44.47
"427",23,44.97
"428",23,68.85
"429",23,45.95
"430",23,55.01
"431",23,53.52
"432",24,36.85
"433",24,37.33
"434",24,45.89
"435",24,47.74
"436",24,62.68
"437",24,57.83
"438",24,33.14
"439",24,26.73
"440",24,32.41
"441",24,49.68
"442",24,50.72
"443",24,53.03
"444",24,49.08
"445",24,51.83
"446",24,48.34
"447",24,46.94
"448",24,56.26
"449",24,38.38
"450",24,39.84
"451",24,46.22
"452",25,42.9
"453",25,48.89
"454",25,52.65
"455",25,43.33
"456",25,26.33
"457",25,55.05
"458",25,32.43
"459",25,54.12
"460",25,41.91
"461",25,48.47
"462",25,58.24
"463",25,59.8
"464",25,35.43
"465",25,39.51
"466",25,55.59
"467",25,38.48
"468",25,38.27
"469",25,41.68
"470",25,38.66
"471",26,51.03
"472",26,26.07
"473",26,47.08
"474",26,43.41
"475",26,50.69
"476",26,46.07
"477",26,50.94
"478",26,39.71
"479",26,42.96
"480",26,40.73
"481",26,54.64
"482",26,46.59
"483",26,58.86
"484",26,42.51
"485",26,39.88
"486",26,55.37
"487",26,45.78
"488",26,42.42
"489",26,54.48
"490",26,57.12
"491",26,62.45
"492",26,34.02
"493",26,50.25
"494",26,45.87
"495",26,29.29
"496",26,32.75
"497",26,51.69
"498",26,52.64
"499",26,50.24
"500",26,52.85
"501",27,69.02
"502",27,44.67
"503",27,39.38
"504",27,41.27
"505",27,43.9
"506",27,44.08
"507",27,23.71
"508",27,35.95
"509",27,51.23
"510",27,28.43
"511",27,52.74
"512",27,46.96
"513",28,52.52
"514",28,55.59
"515",28,72.27
"516",28,50.47
"517",28,54.91
"518",28,61.6
"519",28,28.34
"520",28,47.49
"521",28,66.12
"522",28,35.97
"523",28,31.54
"524",28,58.87
"525",28,50.02
"526",28,46.9
"527",28,51.75
"528",28,55.08
"529",28,46.69
"530",28,57.64
"531",28,57.8
"532",28,51.95
"533",28,56.83
"534",28,49.12
"535",29,58.61
"536",29,50.49
"537",29,52.13
"538",29,66.68
"539",29,42.49
"540",29,54.6
"541",29,50.42
"542",29,40.2
"543",29,50.97
"544",29,23
"545",29,35.38
"546",29,44.29
"547",29,41.89
"548",29,52.86
"549",29,45.74
"550",29,42.89
"551",29,41.18
"552",29,30.39
"553",29,53.76
"554",29,45.65
"555",30,38.93
"556",30,49.44
"557",30,43.03
"558",30,48.99
"559",30,64.64
"560",30,52.17
"561",30,56.17
"562",30,40.49
"563",30,55.72
"564",30,45.73
"565",30,57.96
"566",30,42.69
"567",30,44.5
"568",30,57.67
"569",30,46.95
"570",30,48.4
"571",31,61.35
"572",31,42.11
"573",31,47.24
"574",31,62.73
"575",31,53.7
"576",31,51.61
"577",31,59.88
"578",31,42.29
"579",31,48.44
"580",31,28.28
"581",31,33.3
"582",31,54.71
"583",31,65.09
"584",31,50.07
"585",31,46.23
"586",31,69.53
"587",31,42.83
"588",31,45.59
"589",31,53.91
"590",31,46.81
"591",31,47.19
"592",31,29.78
"593",32,47.43
"594",32,54.6
"595",32,46.82
"596",32,43.87
"597",32,39.77
"598",32,56.65
"599",32,54.88
"600",32,55.58
"601",32,53.54
"602",32,47.03
"603",32,48.43
"604",32,57.62
"605",32,54.61
"606",32,51.2
"607",32,46.28
"608",33,48.56
"609",33,61.41
"610",33,48.18
"611",33,45.4
"612",33,46.43
"613",33,42.42
"614",33,43.13
"615",33,45.04
"616",33,50.79
"617",33,40.94
"618",33,39.68
"619",33,40.89
"620",33,56.92
"621",33,46.66
"622",33,62.13
"623",33,32.96
"624",33,64.23
"625",33,51.18
"626",33,30.22
"627",33,45.72
"628",33,56.13
"629",33,39.2
"630",33,69.96
"631",33,40.29
"632",33,47.09
"633",33,36.36
"634",34,53.09
"635",34,60.93
"636",34,36.74
"637",34,53.17
"638",34,55.87
"639",34,42.1
"640",34,35.48
"641",34,51.42
"642",34,42.94
"643",34,40.95
"644",34,42.25
"645",34,37.05
"646",34,51.34
"647",34,40.63
"648",34,56.11
"649",34,38.38
"650",34,42.16
"651",34,50.08
"652",34,55.57
"653",34,37.14
"654",34,48.86
"655",34,40.8
"656",34,50.39
"657",34,33.39
"658",35,54.16
"659",35,71.24
"660",35,44.45
"661",35,69.88
"662",35,40.11
"663",35,51.02
"664",35,30.98
"665",35,72.24
"666",35,64.95
"667",35,57.94
"668",35,51.11
"669",35,47.75
"670",35,56.79
"671",35,61.87
"672",35,56.46
"673",35,60.73
"674",35,58.01
"675",36,59.28
"676",36,58.58
"677",36,58.9
"678",36,52.69
"679",36,76.17
"680",36,57.19
"681",36,48.41
"682",36,41.89
"683",36,50.8
"684",36,53.61
"685",36,42.9
"686",36,42.45
"687",37,30.35
"688",37,42.99
"689",37,63.21
"690",37,56.56
"691",37,54.17
"692",37,44.47
"693",37,33.19
"694",37,42.14
"695",37,41.91
"696",37,42.02
"697",37,52.83
"698",37,49.6
"699",37,44.37
"700",37,53.14
"701",37,39.47
"702",37,45.52
"703",37,49.79
"704",37,39.66
"705",37,46.24
"706",37,62.17
"707",37,49.7
"708",37,49.25
"709",37,45.03
"710",37,59.1
"711",37,25.86
"712",37,42.98
"713",37,46.3
"714",37,51.18
"715",37,34.29
"716",37,52.13
"717",37,36.66
"718",37,48.32
"719",38,49.9
"720",38,49.49
"721",38,42.31
"722",38,56.69
"723",38,36.17
"724",38,60.91
"725",38,55.56
"726",38,49.56
"727",38,38.58
"728",38,70.51
"729",38,57.09
"730",38,55.89
"731",38,51.39
"732",38,53.39
"733",38,55.84
"734",38,47.93
"735",39,62.49
"736",39,40.71
"737",39,45
"738",39,51.98
"739",39,47.92
"740",39,33.51
"741",39,36.24
"742",39,46.31
"743",39,45.34
"744",39,37.03
"745",39,44.82
"746",39,59.26
"747",39,66.58
"748",39,34.61
"749",39,44.79
"750",39,38.2
"751",39,52.56
"752",39,41.62
"753",39,44.18
"754",39,52.65
"755",39,32.13
"756",39,51.08
"757",39,43.51
"758",39,44.29
"759",39,49.34
"760",39,58.64
"761",39,42.78
"762",40,36.94
"763",40,46.98
"764",40,47.72
"765",40,56.35
"766",40,54.04
"767",40,36.68
"768",40,71.04
"769",40,45.19
"770",40,33.5
"771",40,29.68
"772",40,47.56
"773",40,47.76
"774",40,50.26
"775",40,58.06
"776",40,45.39
"777",40,43.27
"778",40,63.01
"779",40,50.36
"780",40,53.35
"781",40,49.95
"782",40,44.5
"783",40,52.41
"784",40,52.28
"785",40,49.08
"786",40,59.25
"787",41,59.42
"788",41,44.55
"789",41,48.82
"790",41,51.96
"791",41,49.13
"792",41,69.36
"793",41,55.68
"794",41,46.28
"795",41,58.64
"796",41,54.75
"797",41,53.94
"798",41,72.89
"799",41,70.76
"800",41,44.91
"801",41,73.88
"802",41,60.89
"803",41,47.69
"804",41,59.76
"805",41,57.45
"806",41,62.14
"807",41,61.47
"808",41,48.15
"809",42,52.87
"810",42,50.03
"811",42,41.51
"812",42,37.42
"813",42,64.42
"814",42,45.44
"815",42,46.06
"816",42,46.37
"817",42,46.66
"818",42,29.01
"819",42,35.69
"820",42,49.16
"821",42,55.9
"822",42,45.84
"823",42,35.44
"824",42,43.21
"825",42,48.36
"826",42,74.14
"827",42,46.76
"828",42,36.97
"829",42,43.84
"830",42,43.24
"831",42,56.9
"832",42,47.64
"833",42,38.84
"834",42,42.96
"835",42,41.58
"836",42,45.96
"837",43,80.02
"838",43,62.47
"839",43,66.48
"840",43,52.83
"841",43,44.79
"842",43,48.08
"843",43,41.06
"844",43,49.99
"845",43,33.41
"846",43,35.25
"847",43,52.75
"848",43,47.9
"849",43,47.48
"850",43,48.89
"851",43,59.58
"852",44,49.72
"853",44,49.23
"854",44,57
"855",44,35.73
"856",44,58.75
"857",44,42.01
"858",44,28.94
"859",44,50.73
"860",44,48.34
"861",44,51.79
"862",44,50.66
"863",44,63.51
"864",44,46.16
"865",44,58.61
"866",44,40.67
"867",44,46.2
"868",44,59.87
"869",45,45.39
"870",45,50.05
"871",45,42.21
"872",45,40.26
"873",45,47.12
"874",45,52.32
"875",45,56.05
"876",45,34.62
"877",45,42.59
"878",45,39.96
"879",45,37.14
"880",45,55.71
"881",45,36.06
"882",45,44.56
"883",45,53.34
"884",46,48.97
"885",46,64.48
"886",46,30.88
"887",46,24.8
"888",46,32.03
"889",46,35.77
"890",46,27.67
"891",46,35.16
"892",46,25.84
"893",46,31.74
"894",46,56.34
"895",46,34.66
"896",46,38.08
"897",46,46.73
"898",46,46.04
"899",46,47.03
"900",46,37.63
"901",46,45.26
"902",46,40.39
"903",46,49.96
"904",46,44.24
"905",47,59.68
"906",47,33.7
"907",47,53.87
"908",47,53
"909",47,51.18
"910",47,50.93
"911",47,39.05
"912",47,47.81
"913",47,37.77
"914",47,46.15
"915",47,49.05
"916",47,38.3
"917",47,47.66
"918",47,46.36
"919",47,37.35
"920",47,41.99
"921",47,31.38
"922",47,38.33
"923",47,33.31
"924",47,41.66
"925",48,43.82
"926",48,27.5
"927",48,42.43
"928",48,49.32
"929",48,62.03
"930",48,35.68
"931",48,49.26
"932",48,48.02
"933",48,55.13
"934",48,48.68
"935",48,43.07
"936",48,32.8
"937",48,49.26
"938",48,45.14
"939",48,45.21
"940",48,32.34
"941",48,60.05
"942",48,50.35
"943",48,42.91
"944",48,58.76
"945",48,58.37
"946",48,49.1
"947",49,34.89
"948",49,42.81
"949",49,43
"950",49,48.71
"951",49,24.36
"952",49,35.08
"953",49,40.33
"954",49,36.05
"955",49,43.37
"956",49,29.88
"957",49,39.48
"958",49,30.9
"959",49,41.1
"960",49,46.97
"961",49,35.51
"962",50,41.55
"963",50,29.84
"964",50,49.14
"965",50,57.8
"966",50,44.15
"967",50,29.21
"968",50,58.24
"969",50,47.22
"970",50,37.36
"971",50,29.06
"972",50,39.84
"973",50,47.1
"974",50,38.98
"975",50,40.91
"976",50,46.81
"977",50,35.26
"978",50,40.45
"979",50,35.52
"980",51,66.26
"981",51,66.12
"982",51,71.22
"983",51,54.9
"984",51,61.98
"985",51,69.42
"986",51,61.22
"987",51,62.99
"988",51,57.99
"989",51,61.33
"990",51,66.85
"991",51,67.87
"992",51,63.94
"993",51,73.7
"994",51,70.36
"995",51,64.01
"996",51,57.35
"997",51,68.25
"998",51,57.39
"999",52,66.5
"1000",52,36.71
"1001",52,50.16
"1002",52,50.28
"1003",52,52.18
"1004",52,51.46
"1005",52,35.73
"1006",52,53.69
"1007",52,68.71
"1008",52,44.75
"1009",52,43.91
"1010",52,33.41
"1011",52,45.72
"1012",52,44.99
"1013",52,47.73
"1014",52,33.51
"1015",52,60.51
"1016",52,44.62
"1017",52,53.45
"1018",52,55
"1019",52,31.21
"1020",52,47.96
"1021",52,66.59
"1022",52,61.97
"1023",52,53.8
"1024",53,49.44
"1025",53,31.68
"1026",53,63.99
"1027",53,36.71
"1028",53,40.77
"1029",53,52.12
"1030",53,30.88
"1031",53,40.01
"1032",53,38.55
"1033",53,42.27
"1034",53,41.62
"1035",54,34.24
"1036",54,43.66
"1037",54,37.74
"1038",54,25.47
"1039",54,54.77
"1040",54,52.72
"1041",54,38.93
"1042",54,34.49
"1043",54,45.02
"1044",54,64.05
"1045",54,44.41
"1046",54,59.1
"1047",54,66.11
"1048",54,43.47
"1049",54,64.42
"1050",54,39.82
"1051",54,32.3
"1052",54,54.9
"1053",54,45.63
"1054",54,48.73
"1055",54,29.44
"1056",54,43.16
"1057",54,54.72
"1058",54,56.88
"1059",54,38.84
"1060",54,43.39
"1061",54,55.71
"1062",55,34.7
"1063",55,44.97
"1064",55,43.9
"1065",55,40.48
"1066",55,40.45
"1067",55,44.63
"1068",55,38.93
"1069",55,37.42
"1070",55,44.24
"1071",55,42.12
"1072",55,43.33
"1073",55,53.41
"1074",55,55.7
"1075",55,44.3
"1076",55,51.11
"1077",55,28.57
"1078",55,45.45
"1079",55,32.07
"1080",55,43.68
"1081",55,47.25
"1082",55,49.88
"1083",55,47.64
"1084",55,42.71
"1085",55,38.03
"1086",56,44.64
"1087",56,67.06
"1088",56,42.99
"1089",56,59.1
"1090",56,36.68
"1091",56,52
"1092",56,45.4
"1093",56,46.9
"1094",56,54.94
"1095",56,52.67
"1096",56,41.2
"1097",56,43.28
"1098",56,49.12
"1099",56,43.39
"1100",56,54.9
"1101",56,50.91
"1102",56,55.56
"1103",56,55.29
"1104",56,43.53
"1105",56,38.92
"1106",56,41.53
"1107",56,70.07
"1108",56,46.2
"1109",56,44.7
"1110",57,33.36
"1111",57,35.15
"1112",57,34.73
"1113",57,48.76
"1114",57,51.32
"1115",57,49.63
"1116",57,22.61
"1117",57,42.76
"1118",57,54.3
"1119",57,35.11
"1120",57,42.16
"1121",57,44.64
"1122",57,38.93
"1123",57,37.08
"1124",57,40.98
"1125",57,29.51
"1126",57,54.33
"1127",57,64.63
"1128",57,38.54
"1129",57,67.82
"1130",57,55.08
"1131",57,35.43
"1132",57,41.85
"1133",57,51.39
"1134",57,48.03
"1135",58,48.07
"1136",58,41.27
"1137",58,63.51
"1138",58,51.78
"1139",58,49.75
"1140",58,41.73
"1141",58,46.13
"1142",58,58.3
"1143",58,39.72
"1144",58,62
"1145",58,47.12
"1146",58,43.94
"1147",58,64.65
"1148",58,60.22
"1149",58,53.22
"1150",58,35.86
"1151",58,38.2
"1152",58,43.39
"1153",58,40.64
"1154",58,55.21
"1155",58,53.15
"1156",58,46.47
"1157",58,50.94
"1158",58,43.83
"1159",58,60.47
"1160",58,34.19
"1161",58,35.1
"1162",58,48.93
"1163",59,45.41
"1164",59,39.53
"1165",59,51.06
"1166",59,27.55
"1167",59,46.58
"1168",59,49.02
"1169",59,61.95
"1170",59,30.7
"1171",59,48.79
"1172",59,47.7
"1173",59,79.84
"1174",59,59.75
"1175",59,63.72
"1176",59,39.62
"1177",59,38.44
"1178",59,50.18
"1179",59,62.13
"1180",59,53.53
"1181",60,42.59
"1182",60,42.51
"1183",60,23.36
"1184",60,39.96
"1185",60,33.67
"1186",60,47.56
"1187",60,51.11
"1188",60,30.66
"1189",60,38.06
"1190",60,32.37
"1191",60,27.56
"1192",60,38.39
"1193",60,37.28
"1194",60,32.78
"1195",60,41.86
"1196",60,44.23
"1197",60,38.77
"1198",60,41.69
"1199",60,83.27
"1200",60,43.06
"1201",60,47.27
"1202",60,50.33
"1203",60,45.37
"1204",60,47.38
"1205",60,53.18
"1206",60,51.68
"1207",60,27.88
"1208",60,43.16
"1209",61,41.5
"1210",61,56.09
"1211",61,34.78
"1212",61,46.6
"1213",61,50.36
"1214",61,45.68
"1215",61,40.92
"1216",61,34.71
"1217",61,42.76
"1218",61,43.4
"1219",61,50.04
"1220",61,54.07
"1221",61,42.22
"1222",61,49.36
"1223",61,51.26
"1224",61,45.4
"1225",61,44.92
"1226",61,50.74
"1227",61,39.49
"1228",61,33.12
"1229",61,47.15
"1230",61,40.96
"1231",61,55.28
"1232",61,40.45
"1233",62,41.88
"1234",62,57.84
"1235",62,37.46
"1236",62,52.7
"1237",62,63.67
"1238",62,42.04
"1239",62,53.76
"1240",62,45.25
"1241",62,57.92
"1242",62,59.6
"1243",62,56.59
"1244",62,57.74
"1245",62,44.62
"1246",63,45.11
"1247",63,74.87
"1248",63,38.94
"1249",63,52.01
"1250",63,45.17
"1251",63,42.74
"1252",63,57.96
"1253",63,30.35
"1254",63,61.15
"1255",63,51.59
"1256",63,49.49
"1257",63,43.96
"1258",63,60.98
"1259",63,35.58
"1260",63,60.82
"1261",63,43.77
"1262",64,57.6
"1263",64,44.07
"1264",64,28.23
"1265",64,33.66
"1266",64,36.74
"1267",64,39.27
"1268",64,46.27
"1269",64,44.11
"1270",64,31.81
"1271",64,37.26
"1272",64,34.8
"1273",64,51.8
"1274",64,40.55
"1275",64,50.17
"1276",64,50.97
"1277",64,37.04
"1278",64,48.1
"1279",64,41.99
"1280",64,34.94
"1281",64,34.83
"1282",64,59.81
"1283",64,55.26
"1284",64,46.32
"1285",64,61.99
"1286",64,34.37
"1287",64,37.51
"1288",64,45.82
"1289",65,32.71
"1290",65,46.37
"1291",65,60.96
"1292",65,33.26
"1293",65,52.83
"1294",65,48.55
"1295",65,30.61
"1296",65,27.48
"1297",65,44.92
"1298",65,48.1
"1299",65,39.44
"1300",65,63.57
"1301",65,59.24
"1302",65,45.78
"1303",65,73
"1304",65,50.6
"1305",65,56.43
"1306",66,42.65
"1307",66,48.71
"1308",66,46.9
"1309",66,35.65
"1310",66,35.05
"1311",66,45.17
"1312",66,59.52
"1313",66,59.19
"1314",66,58.84
"1315",66,30.41
"1316",66,51.99
"1317",66,56.08
"1318",66,49.96
"1319",66,50.7
"1320",66,52.87
"1321",67,75.62
"1322",67,55.86
"1323",67,66.16
"1324",67,62.43
"1325",68,41.58
"1326",68,38.96
"1327",68,56.95
"1328",68,48.14
"1329",68,51.62
"1330",68,39.05
"1331",68,47.17
"1332",68,50.11
"1333",68,49
"1334",68,57.17
"1335",68,52.5
"1336",68,37.95
"1337",68,37.61
"1338",68,34.05
"1339",68,46.11
"1340",68,34.13
"1341",68,45.14
"1342",68,35
"1343",68,47.95
"1344",69,59.97
"1345",69,58.57
"1346",69,70.4
"1347",69,52.84
"1348",69,28.62
"1349",69,69.1
"1350",69,52.88
"1351",69,56.82
"1352",69,39.14
"1353",69,54.97
"1354",69,50.73
"1355",69,67.46
"1356",69,50.87
"1357",69,63.87
"1358",69,57.6
"1359",69,47.45
"1360",69,46.44
"1361",69,53.28
"1362",69,58.69
"1363",69,52.45
"1364",69,42.02
"1365",69,33.19
"1366",69,39.03
"1367",69,38.47
"1368",70,48.23
"1369",70,34.81
"1370",70,55.7
"1371",70,43.17
"1372",70,40.6
"1373",70,53.69
"1374",70,38.07
"1375",70,36.24
"1376",70,42.16
"1377",70,54.11
"1378",70,40.03
"1379",70,59.01
"1380",70,32.85
"1381",70,47.01
"1382",70,39.07
"1383",70,43.82
"1384",70,40.19
"1385",70,40.4
"1386",70,50.35
"1387",70,40.58
"1388",70,47.45
"1389",70,47.09
"1390",70,48.25
"1391",70,35.4
"1392",70,34.16
"1393",70,43.34
"1394",70,37.92
"1395",71,51.02
"1396",71,52.66
"1397",71,47.09
"1398",71,35.97
"1399",71,36.31
"1400",71,58.43
"1401",71,49
"1402",71,31.41
"1403",71,62.18
"1404",71,37.45
"1405",71,37.66
"1406",71,45.94
"1407",71,55.05
"1408",71,37.14
"1409",71,52.02
"1410",71,60.94
"1411",71,39.51
"1412",71,52.8
"1413",71,50.77
"1414",71,61.42
"1415",71,36.36
"1416",71,36.37
"1417",72,45.44
"1418",72,40.68
"1419",72,36
"1420",72,41.23
"1421",72,37.95
"1422",72,31.78
"1423",72,35.52
"1424",72,30.69
"1425",72,36.61
"1426",72,43.73
"1427",72,33.07
"1428",72,31.97
"1429",72,35.68
"1430",73,62.09
"1431",73,49.85
"1432",73,59.68
"1433",73,65.1
"1434",73,41.49
"1435",73,50.53
"1436",73,56.85
"1437",73,61.21
"1438",73,58.09
"1439",73,61.68
"1440",73,52.6
"1441",73,60.88
"1442",73,56.05
"1443",73,48.99
"1444",73,55.85
"1445",73,61.86
"1446",73,38.58
"1447",73,47.76
"1448",73,45.49
"1449",73,51.27
"1450",73,58.56
"1451",73,50.59
"1452",73,52.33
"1453",73,51.51
"1454",73,52.04
"1455",73,49.87
"1456",73,52.27
"1457",74,46.74
"1458",74,41.73
"1459",74,42.34
"1460",74,34.11
"1461",74,42.09
"1462",74,43.17
"1463",74,41.04
"1464",74,37.77
"1465",74,35.89
"1466",74,27.1
"1467",74,39.63
"1468",74,28.81
"1469",74,50.26
"1470",74,36.96
"1471",74,43.79
"1472",74,48.46
"1473",74,45.37
"1474",75,46.92
"1475",75,46.08
"1476",75,71.31
"1477",75,33.09
"1478",75,68.67
"1479",75,49.75
"1480",75,53.83
"1481",75,55.72
"1482",75,45.45
"1483",75,45.37
"1484",75,46.23
"1485",75,43.32
"1486",75,59.8
"1487",75,22.58
"1488",75,47.71
"1489",75,45.53
"1490",75,47.37
"1491",75,45.21
"1492",75,50.99
"1493",75,53.14
"1494",75,42.25
"1495",75,60.76
"1496",75,42.59
"1497",76,63.86
"1498",76,57.05
"1499",76,39.52
"1500",76,60.05
"1501",76,56.02
