,INCOME,DEGREE,CHILDREN,PINCOME,PDEGREE,PCHILDREN,AGE
261,100,1,1,3,4,4,49
262,25,1,0,NaN,1,3,32
263,NaN,3,1,2,1,2,32
264,NaN,1,1,NaN,4,2,26
265,100,3,1,2,1,1,48
266,100,1,3,2,1,2,50
267,12,3,0,NaN,3,2,26
268,100,3,NaN,NaN,1,3,50
269,15,2,4,3,3,3,57
270,100,4,0,4,3,4,39
271,100,3,3,3,3,3,36
272,100,3,2,NaN,1,2,52
273,75,4,2,3,1,3,47
274,30,3,2,2,0,13,38
275,75,4,2,3,0,4,49
276,NaN,2,0,NaN,1,8,39
277,20,1,0,3,3,3,37
278,NaN,1,3,3,0,8,31
279,75,3,4,NaN,1,2,48
280,40,1,2,NaN,1,4,32
281,100,3,2,NaN,3,2,45
282,50,2,2,NaN,0,3,42
283,6,0,0,2,1,6,19
284,9,1,1,NaN,2,4,30
285,8,1,1,NaN,1,3,31
286,15,1,0,NaN,3,5,31
287,20,1,3,3,3,2,46
288,8,0,1,1,0,8,43
289,4,1,0,NaN,1,4,33
290,9,1,1,NaN,1,2,23
291,12,2,2,4,1,3,26
292,12,1,2,3,1,4,33
293,50,0,3,NaN,0,6,53
294,15,1,3,3,2,9,44
295,20,0,7,2,0,11,57
296,40,4,4,2,1,4,44
297,12,2,0,4,3,3,27
298,15,3,0,4,1,2,27
299,8,3,0,NaN,1,3,27
300,NaN,1,0,3,1,2,33
301,30,3,0,NaN,3,3,35
302,30,1,0,2,1,5,39
303,25,4,0,NaN,4,6,37
304,10,1,0,NaN,1,7,38
305,75,3,2,2,3,3,49
306,40,3,0,4,1,2,35
307,30,1,4,NaN,1,8,58
308,1,0,0,3,1,4,35
309,NaN,3,0,NaN,1,1,45
310,40,2,3,NaN,1,6,47
311,40,1,2,2,1,5,47
312,1,1,1,NaN,1,4,24
313,11,1,0,2,0,4,26
314,30,2,1,NaN,1,4,46
315,12,1,1,3,1,3,23
316,25,1,1,2,1,7,38
317,15,2,3,3,1,2,42
318,8,1,0,NaN,1,3,23
319,75,2,2,NaN,1,5,37
320,7,0,1,NaN,0,8,33
321,30,1,0,1,4,1,34
322,NaN,3,0,3,2,4,35
323,15,1,2,NaN,1,6,26
324,30,1,2,4,3,3,32
325,NaN,2,0,NaN,3,8,43
326,50,3,2,NaN,1,3,37
327,NaN,1,2,3,0,12,37
328,NaN,1,3,NaN,1,12,53
329,20,0,4,3,0,14,58
330,NaN,0,0,NaN,0,5,50
331,12,1,0,3,1,1,34
332,100,3,1,5,4,4,28
333,100,3,4,NaN,1,5,54
334,50,1,1,NaN,1,7,38
335,NaN,1,2,NaN,1,5,48
336,25,0,4,NaN,0,3,43
337,NaN,3,0,NaN,1,2,29
338,50,3,1,3,1,2,43
339,20,1,0,3,1,10,58
340,40,4,2,3,1,2,46
341,NaN,1,0,NaN,0,3,20
342,100,1,3,4,1,2,53
343,6,1,0,NaN,1,8,23
344,15,1,1,3,0,7,48
345,12,3,1,NaN,1,3,33
346,75,4,0,4,4,4,47
347,40,3,0,NaN,1,6,34
348,NaN,4,7,NaN,1,6,65
349,100,3,2,4,3,3,46
350,40,2,3,2,1,4,40
351,50,1,2,NaN,1,4,32
352,8,1,0,3,1,9,27
353,30,4,1,NaN,3,5,34
354,10,1,0,3,1,5,27
355,20,3,0,NaN,3,4,33
356,25,3,2,2,3,1,34
357,30,3,0,NaN,4,4,31
358,50,3,3,3,1,5,33
359,40,1,2,NaN,1,3,38
360,30,1,3,NaN,1,4,51
361,30,3,1,4,3,4,39
362,40,2,2,3,1,7,48
363,50,4,0,2,4,3,40
364,40,1,0,NaN,1,2,46
365,11,1,0,NaN,3,2,22
366,0,1,0,3,3,2,19
367,50,4,2,2,3,3,45
368,25,3,2,NaN,3,3,37
369,50,1,3,NaN,1,2,54
370,9,3,0,NaN,3,3,52
371,50,3,3,3,4,3,36
372,9,1,2,NaN,1,5,32
373,12,3,0,3,1,3,32
374,NaN,1,0,NaN,1,1,46
375,NaN,0,0,2,NaN,5,29
376,20,0,6,3,1,6,65
377,NaN,0,4,NaN,NaN,8,49
378,NaN,1,4,3,0,1,55
379,30,3,1,NaN,1,2,39
380,15,2,0,NaN,0,11,34
381,50,3,2,4,4,4,38
382,25,3,0,4,1,2,25
383,40,1,0,3,1,9,36
384,25,3,1,NaN,1,2,35
385,NaN,0,2,4,0,9,35
386,9,1,1,4,4,5,40
387,NaN,2,2,3,3,3,25
388,30,1,3,NaN,1,10,44
389,40,1,1,NaN,0,3,44
390,75,1,5,NaN,1,4,58
391,NaN,1,4,NaN,0,5,63
392,20,1,2,4,0,6,38
393,40,1,2,2,1,2,40
394,NaN,1,8,NaN,0,3,50
395,40,4,3,3,4,3,43
396,20,3,3,2,1,2,43
397,10,1,0,NaN,1,5,26
398,12,3,3,3,1,4,28
399,40,4,0,3,0,3,30
400,20,3,0,4,3,2,27
401,3,1,2,NaN,1,7,57
402,15,1,3,4,1,6,40
403,NaN,0,1,3,1,3,27
404,2,0,0,NaN,1,2,18
405,50,1,3,NaN,0,2,44
406,12,1,0,4,1,3,32
407,40,1,2,3,1,2,43
408,40,3,3,2,1,5,45
409,50,2,2,NaN,1,4,38
410,1,1,0,NaN,1,3,23
411,11,1,1,2,0,10,38
412,20,1,1,4,1,3,38
413,11,0,3,3,0,2,60
414,50,4,3,3,1,2,56
415,5,1,2,NaN,1,3,44
416,8,1,0,NaN,NaN,1,23
417,40,4,0,4,1,4,35
418,50,1,0,NaN,0,4,43
419,9,1,0,2,1,2,26
420,9,1,0,4,2,5,24
421,3,1,1,NaN,1,7,31
422,5,0,1,NaN,0,5,76
423,4,1,1,3,1,2,51
424,11,2,1,2,1,2,41
425,6,1,0,NaN,0,1,41
426,6,1,0,NaN,1,1,26
427,20,1,1,3,1,3,36
428,10,3,3,3,4,3,49
429,9,1,3,NaN,0,6,34
430,NaN,3,0,NaN,2,6,41
431,NaN,1,3,NaN,1,NaN,49
432,NaN,1,2,3,0,5,53
433,30,1,2,3,1,12,45
434,30,1,2,3,0,3,51
435,50,3,3,2,0,3,52
436,25,1,3,3,1,4,33
437,25,1,2,NaN,0,6,32
438,50,1,3,NaN,0,3,58
439,NaN,4,0,3,0,6,44
440,20,1,2,NaN,0,2,38
441,40,1,3,3,1,3,33
442,10,1,0,4,1,5,32
443,25,1,2,NaN,0,5,55
444,20,1,3,3,1,13,34
445,50,2,2,NaN,1,3,48
446,7,3,5,1,0,7,74
447,30,1,4,NaN,3,3,25
448,8,0,2,NaN,1,6,25
449,75,3,5,NaN,0,9,55
450,3,1,2,NaN,1,6,30
451,0,1,0,NaN,0,5,20
452,20,3,0,3,1,2,24
453,15,1,0,NaN,1,4,39
454,100,3,3,NaN,4,4,70
455,100,3,0,NaN,1,2,47
456,40,1,2,4,1,4,43
457,15,1,1,NaN,3,3,34
458,25,3,0,4,4,2,41
459,40,1,3,NaN,NaN,3,73
460,40,4,1,3,1,8,41
461,NaN,3,1,NaN,1,4,32
462,20,1,0,3,1,5,32
463,NaN,1,2,3,0,3,40
464,20,1,1,3,1,5,37
465,7,3,1,3,1,2,39
466,30,2,3,3,NaN,3,40
467,25,2,2,4,1,4,36
468,25,1,0,3,1,3,25
469,30,2,0,NaN,1,5,31
470,12,1,4,NaN,1,7,39
471,20,1,0,3,1,6,46
472,0,0,0,NaN,1,1,21
473,NaN,1,2,NaN,1,5,36
474,15,1,3,NaN,1,1,47
475,11,1,0,4,1,2,48
476,8,3,0,3,1,7,39
477,50,4,3,3,4,4,40
478,3,2,8,NaN,1,9,49
479,6,1,0,NaN,4,3,25
480,10,1,5,3,1,5,47
481,100,3,4,4,3,5,55
482,15,1,0,NaN,1,3,41
483,20,1,0,2,1,5,25
484,40,1,0,NaN,NaN,2,36
485,40,4,1,3,0,2,47
486,NaN,1,0,NaN,4,2,20
487,12,0,0,4,1,2,38
488,40,1,0,NaN,1,24,32
489,9,1,3,NaN,1,7,53
490,25,1,2,NaN,1,5,32
491,75,0,4,3,NaN,7,48
492,50,1,4,3,1,3,56
493,50,1,2,4,1,3,31
494,30,1,3,4,1,4,45
495,NaN,1,2,3,0,1,46
496,20,2,1,4,2,3,33
497,40,1,2,NaN,1,3,43
498,25,1,0,4,1,2,31
499,100,3,3,NaN,3,6,38
500,100,3,5,4,1,3,37
501,40,3,2,3,1,3,33
502,6,1,0,3,1,2,23
503,NaN,3,1,4,3,2,39
504,40,1,3,3,1,15,61
505,9,1,4,NaN,1,6,37
506,7,0,2,3,0,5,87
507,25,1,0,NaN,3,5,45
508,75,0,3,NaN,NaN,14,59
509,2,1,2,NaN,3,2,74
510,8,1,7,5,0,4,62
511,25,0,5,NaN,0,4,61
512,7,3,0,2,3,5,26
513,NaN,4,2,NaN,0,2,68
514,NaN,1,0,NaN,1,5,20
515,50,1,3,NaN,1,4,54
516,3,1,0,NaN,1,4,37
517,15,1,2,2,0,6,58
518,40,3,0,3,1,7,48
519,11,4,0,2,0,2,39
520,40,3,2,4,1,8,54
521,20,3,2,4,1,4,48
522,10,0,3,NaN,0,8,44
523,10,0,2,NaN,0,7,50
524,15,0,2,1,0,9,30
525,12,1,1,3,2,2,29
526,12,1,2,NaN,2,3,34
527,11,0,2,2,0,3,52
528,11,0,4,2,NaN,11,68
529,10,0,0,3,NaN,7,44
530,8,1,0,3,1,1,33
531,8,1,3,NaN,1,5,51
532,15,2,0,NaN,1,7,32
533,NaN,4,1,4,3,3,31
534,75,3,3,NaN,1,7,41
535,9,3,0,NaN,4,6,24
536,3,1,0,2,0,3,21
537,8,1,7,NaN,1,8,47
538,15,1,0,3,1,5,27
539,25,1,0,NaN,1,2,67
540,9,0,2,2,0,5,32
541,25,0,3,NaN,0,4,59
542,NaN,1,0,NaN,1,3,35
543,25,2,3,4,4,2,38
544,40,1,2,3,1,4,31
545,25,1,2,NaN,0,3,48
546,10,3,4,2,1,3,60
547,20,1,0,1,1,5,26
548,10,0,1,2,0,2,30
549,30,1,0,3,0,5,51
550,40,1,3,NaN,0,3,49
551,20,3,0,3,3,3,26
552,30,2,1,NaN,1,7,32
553,20,0,1,NaN,0,2,31
554,25,3,2,NaN,0,4,47
555,11,1,3,NaN,1,6,58
556,10,3,2,3,1,1,51
557,50,4,1,2,1,2,46
558,75,4,0,3,4,2,41
559,20,3,2,NaN,2,3,30
560,15,1,0,NaN,2,3,36
561,10,0,0,2,0,4,28
562,12,1,2,3,1,3,34
563,15,1,0,NaN,0,4,36
564,30,1,1,NaN,1,1,38
565,20,0,2,3,1,5,38
566,25,0,2,1,0,10,54
567,30,4,4,3,0,2,69
568,NaN,4,6,NaN,0,5,71
569,50,4,2,NaN,0,2,54
570,0,3,0,NaN,4,3,75
571,NaN,0,5,NaN,1,4,51
572,50,1,1,3,3,2,51
573,10,1,1,3,1,3,28
574,15,1,1,NaN,3,3,36
575,20,1,1,3,1,3,44
576,50,4,3,NaN,1,1,62
577,40,1,0,4,1,5,36
578,15,1,5,NaN,0,3,56
579,9,4,0,NaN,4,4,44
580,7,1,0,3,1,7,22
581,12,1,1,NaN,1,4,41
582,3,1,0,NaN,1,4,24
583,15,0,6,1,NaN,8,56
584,11,0,3,NaN,NaN,6,38
585,8,3,3,3,1,6,41
586,12,0,0,3,0,8,31
587,40,3,1,2,0,2,43
588,30,1,3,3,1,5,33
589,15,1,2,NaN,0,3,26
590,12,1,0,3,0,6,20
591,10,1,1,NaN,NaN,4,28
592,40,1,2,NaN,1,2,72
593,75,3,2,2,0,5,68
594,20,4,0,3,4,3,38
595,11,NaN,6,NaN,1,7,56
596,NaN,1,1,3,1,1,58
597,40,1,3,3,1,2,43
598,8,1,0,3,1,2,22
599,20,4,1,NaN,4,5,32
600,25,1,2,3,1,5,33
601,5,1,0,NaN,4,2,25
602,40,3,1,NaN,1,6,52
603,11,0,1,3,NaN,4,24
604,20,3,0,NaN,1,3,33
605,8,1,0,NaN,2,3,24
606,4,1,0,NaN,1,4,31
607,12,1,1,3,1,3,28
608,100,1,3,NaN,1,1,63
609,75,3,3,NaN,NaN,4,61
610,100,4,4,NaN,1,2,41
611,50,1,4,NaN,1,4,57
612,100,3,1,5,3,2,30
613,25,3,2,4,3,2,52
614,50,1,0,3,1,5,34
615,100,0,3,3,0,18,59
616,30,3,0,NaN,4,2,27
617,NaN,3,2,NaN,3,2,41
618,25,3,0,4,1,1,28
619,75,1,1,NaN,1,5,38
620,NaN,1,2,1,0,7,41
621,NaN,0,0,2,0,4,36
622,20,0,0,NaN,1,6,37
623,11,1,0,3,1,2,31
624,8,1,0,NaN,1,6,32
625,25,1,0,4,1,3,25
626,6,1,0,NaN,0,10,29
627,10,1,4,3,1,6,42
628,2,0,0,3,0,3,19
629,8,1,2,2,0,12,58
630,NaN,0,4,NaN,0,8,56
631,9,2,1,3,3,6,34
632,10,1,0,NaN,1,3,23
633,40,3,2,NaN,1,4,43
634,12,1,4,3,0,2,36
635,10,0,0,NaN,1,2,25
636,40,1,2,3,1,10,27
637,2,1,0,3,2,2,20
638,30,4,2,2,2,5,40
639,25,1,1,3,1,2,32
640,40,0,2,3,1,4,36
641,7,1,0,NaN,0,6,37
642,25,1,1,3,1,4,45
643,15,0,3,3,1,7,28
644,25,3,2,2,0,4,41
645,40,2,0,NaN,1,1,54
646,11,3,0,3,3,2,27
647,30,1,2,NaN,0,8,29
648,NaN,1,0,NaN,1,2,19
649,40,0,2,NaN,NaN,3,43
650,11,1,2,NaN,1,3,32
651,NaN,0,2,3,1,10,47
652,NaN,0,4,2,0,3,48
653,10,1,3,3,1,4,36
654,NaN,0,2,2,NaN,8,48
655,7,0,3,3,1,8,41
656,1,1,0,NaN,1,8,26
657,75,1,2,NaN,NaN,10,32
658,5,1,0,NaN,1,4,23
659,0,3,0,NaN,4,7,31
660,30,3,2,NaN,2,2,46
661,9,1,0,4,1,2,21
662,20,3,0,NaN,1,2,41
663,12,1,1,2,0,12,38
664,12,1,1,NaN,0,2,52
665,8,1,2,2,1,4,30
666,100,3,0,NaN,4,1,37
667,50,4,4,NaN,3,3,49
668,30,4,0,3,1,3,34
669,12,1,4,4,3,4,54
670,11,1,0,4,1,3,40
671,30,1,2,NaN,0,11,56
672,12,3,0,5,4,4,31
673,NaN,0,2,3,4,3,44
674,75,4,2,NaN,3,3,38
675,NaN,4,1,NaN,2,2,50
676,NaN,0,0,2,NaN,21,30
677,40,3,0,NaN,1,3,31
678,NaN,3,3,NaN,1,4,58
679,25,1,1,2,0,5,27
680,8,1,0,NaN,1,3,23
681,20,1,0,1,1,3,28
682,6,3,2,NaN,1,5,24
683,6,1,6,NaN,1,7,59
684,4,3,0,2,0,4,30
685,NaN,1,1,NaN,1,4,52
686,11,0,6,1,0,6,59
687,20,1,5,2,0,3,50
688,11,0,0,NaN,0,4,30
689,8,1,2,3,1,4,23
690,8,0,0,NaN,0,2,34
691,0,1,0,3,1,2,21
692,0,1,2,NaN,0,4,59
693,40,2,1,NaN,4,4,32
694,10,1,3,3,0,5,60
695,1,1,0,4,1,7,21
696,12,1,2,2,1,2,33
697,25,1,4,3,0,4,47
698,12,1,3,NaN,0,4,48
699,30,1,2,NaN,1,3,53
700,40,2,0,3,2,4,34
701,12,1,0,NaN,1,4,25
702,30,1,2,3,3,3,42
703,20,4,4,NaN,0,10,33
704,0,1,0,4,4,2,30
705,8,1,6,1,0,13,35
706,2,1,0,NaN,3,2,28
707,20,0,1,3,1,1,56
708,40,1,1,3,1,4,35
709,30,1,1,NaN,1,4,45
710,4,1,0,5,1,3,23
711,12,1,1,NaN,1,7,40
712,11,1,3,4,1,2,52
713,11,1,0,NaN,1,4,36
714,9,1,0,NaN,1,3,26
715,NaN,1,0,NaN,3,5,32
716,40,1,1,3,1,3,44
717,2,1,3,3,1,4,36
718,30,1,3,NaN,1,1,42
719,11,1,3,1,0,6,27
720,15,1,2,NaN,0,12,34
721,30,3,0,NaN,3,4,43
722,100,3,1,4,1,1,39
723,20,2,0,NaN,3,3,50
724,7,1,0,NaN,4,2,24
725,40,1,0,4,2,6,41
726,40,1,4,NaN,0,9,47
727,40,3,2,3,1,2,46
728,50,4,0,3,1,7,33
729,30,4,0,NaN,2,7,34
730,50,1,3,3,1,3,56
731,20,1,2,2,0,6,49
732,25,1,1,3,1,2,41
733,4,1,0,3,3,2,21
734,NaN,1,2,3,0,6,52
735,9,3,0,NaN,1,2,25
736,25,3,0,3,3,2,32
737,4,1,2,NaN,1,5,57
738,9,1,1,NaN,1,4,30
739,20,1,1,3,0,2,56
740,10,1,0,3,1,2,23
741,5,1,1,NaN,NaN,9,25
742,15,1,0,NaN,1,5,24
743,30,1,4,NaN,0,4,59
744,30,3,2,3,1,3,34
745,12,1,0,NaN,1,2,44
746,75,3,2,NaN,0,10,50
747,2,3,1,3,3,2,55
748,7,1,0,NaN,1,5,21
749,25,1,2,NaN,0,2,49
750,50,1,2,NaN,4,6,51
751,100,1,0,4,1,2,35
752,40,3,1,NaN,1,5,52
753,50,1,4,2,1,9,54
754,12,0,2,NaN,0,4,32
755,NaN,3,3,NaN,NaN,10,41
756,20,3,0,NaN,4,2,26
757,25,2,2,4,4,6,32
758,20,1,0,NaN,1,4,33
759,30,1,1,4,1,2,29
760,7,3,0,2,2,3,32
761,8,4,2,2,1,8,42
762,1,0,1,2,1,6,41
763,75,1,3,NaN,1,3,47
764,8,1,3,NaN,0,12,38
765,15,2,2,1,0,8,33
766,100,4,1,4,3,2,44
767,50,4,2,2,1,2,55
768,40,3,1,NaN,4,3,47
769,50,1,2,2,1,2,52
770,40,3,2,3,2,3,42
771,8,1,1,3,1,7,28
772,15,2,0,NaN,3,2,28
773,50,1,2,NaN,0,4,39
774,25,1,0,NaN,4,4,26
775,4,1,2,NaN,0,4,49
776,40,1,2,NaN,NaN,1,44
777,NaN,1,0,NaN,0,1,34
778,1,0,2,2,0,17,53
779,4,1,2,NaN,1,4,37
780,30,1,3,3,2,7,41
781,10,4,0,3,4,2,48
782,15,2,3,NaN,0,7,45
783,11,1,3,NaN,1,7,36
784,15,0,0,NaN,0,5,34
785,11,1,8,3,2,1,59
786,25,1,2,2,1,6,44
787,2,0,2,2,0,8,52
788,40,3,1,3,4,2,36
789,NaN,1,4,2,0,2,40
790,12,1,2,NaN,1,7,52
791,10,0,2,NaN,NaN,3,45
792,12,1,2,NaN,0,2,40
793,20,1,0,3,1,6,24
794,6,1,1,4,3,3,45
795,5,1,3,NaN,3,6,63
796,40,1,0,NaN,0,5,44
797,7,1,0,2,0,7,29
798,15,1,0,NaN,1,3,34
799,100,3,0,NaN,4,7,56
800,7,3,0,3,3,1,76
801,100,3,3,NaN,1,2,63
802,25,1,5,NaN,0,5,52
803,7,1,0,NaN,NaN,4,35
804,6,1,2,3,0,4,33
805,75,1,3,NaN,1,5,55
